T35,Net disbursements of official development assistance from donors,,,,,
634,Qatar,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),567,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
634,Qatar,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),591,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
410,Republic of Korea,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),116,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
410,Republic of Korea,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),752,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
410,Republic of Korea,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,174",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
410,Republic of Korea,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,915",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
410,Republic of Korea,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,517",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
410,Republic of Korea,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,293",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
410,Republic of Korea,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,987",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
410,Republic of Korea,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.38,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
410,Republic of Korea,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.62,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
410,Republic of Korea,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.17,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
